park_name,year,total_hotel_income
Yosemite National Park,1987,1027681.06
Pinnacles National Park,1963,31660.77
Sequoia National Park,2000,273536.49
Yosemite National Park,2005,1077190.84
Death Valley National Park,1964,131612.39
Redwood National Park,1980,153816.68
Joshua Tree National Park,1949,21877.46
Pinnacles National Park,2002,52938.53
Joshua Tree National Park,1974,166266.46
Lassen Volcanic National Park,1954,92100.92
Lassen Volcanic National Park,1992,152611.13
Sequoia National Park,1996,273247.22
Channel Islands National Park,1982,56204.84
Pinnacles National Park,1967,52394.47
Channel Islands National Park,1998,187251.73
Redwood National Park,1975,120072.29
Joshua Tree National Park,1965,109574.82
Redwood National Park,2007,125605.7
